Usia,Pendapatan_Bulanan,Lama_Bekerja_Tahun,Jumlah_Tanggungan,Skor_Kredit_Internal,Jumlah_Pinjaman_Diminta,Rasio_Utang_Pendapatan,Jml_Keterlambatan_Bayar_12bln,Durasi_Pinjaman_Bulan,Tujuan_Pinjaman,Status_Kepemilikan_Rumah,Jenis_Pekerjaan,Pendidikan_Terakhir,Status_Pernikahan,Status_Pinjaman
35,7800000,5,2,679,2000000,50,4,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
45,8600000,2,1,848,3000000,50,8,6,Konsumtif,Milik Sendiri,Wiraswasta,S2/S3,Belum Menikah,Macet
47,6100000,10,1,739,1000000,5,5,12,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Belum Menikah,Lancar
52,9600000,2,0,460,4000000,5,4,6,Konsumtif,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Lancar
26,5300000,1,0,442,1500000,33,0,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
19,7800000,7,3,645,4500000,50,3,6,Konsumtif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
44,7100000,8,2,779,1000000,50,3,6,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Lancar
28,10100000,6,1,648,3000000,50,8,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
32,8300000,3,3,850,2000000,35,1,6,Konsumtif,Sewa,Pemerintahan,S2/S3,Bercerai,Lancar
23,5800000,1,4,512,1500000,50,1,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
40,6900000,5,0,491,4000000,28,2,12,Produktif,Sewa,Pemerintahan,Diploma/S1,Bercerai,Lancar
45,3300000,5,1,755,2000000,37,2,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Bercerai,Lancar
35,9100000,10,4,833,3500000,50,8,6,Pendidikan,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
36,8300000,4,1,503,4000000,16,2,6,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Belum Menikah,Macet
22,5700000,1,1,423,4500000,31,0,6,Konsumtif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Lancar
46,6900000,6,4,467,500000,17,6,6,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Menikah,Lancar
40,9300000,4,3,624,4000000,11,4,6,Konsumtif,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Macet
18,7200000,7,0,850,2500000,50,13,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
35,8500000,1,2,561,3000000,36,2,6,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Macet
36,600000,1,3,716,3000000,33,3,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
48,7500000,4,0,700,2000000,31,1,6,Pendidikan,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Lancar
26,7100000,3,1,341,3500000,50,5,6,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
36,5400000,1,3,375,3000000,32,2,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Lancar
27,3700000,5,4,643,4000000,50,3,12,Pendidikan,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Lancar
31,6700000,3,4,512,6000000,30,0,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Macet
32,4100000,1,0,493,5000000,34,2,12,Konsumtif,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
35,8500000,5,4,697,4500000,7,0,6,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Macet
16,4300000,0,4,549,4500000,50,5,6,Produktif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
35,7400000,0,0,319,5000000,35,0,6,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
30,3400000,1,2,704,2000000,50,5,6,Produktif,Sewa,Pemerintahan,S2/S3,Menikah,Macet
46,5300000,8,0,772,5000000,5,0,12,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Macet
32,7600000,14,5,850,1500000,50,10,12,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
35,7100000,1,3,476,4500000,48,1,6,Produktif,Sewa,Wiraswasta,Diploma/S1,Menikah,Macet
35,8500000,4,0,850,2500000,50,8,12,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Macet
35,5900000,1,1,410,7500000,35,3,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
35,7300000,8,2,850,4000000,7,1,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Macet
47,5400000,3,2,765,5000000,49,0,12,Pendidikan,Sewa,Swasta,SMA/Sederajat,Menikah,Lancar
35,7700000,5,1,594,5000000,36,3,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
37,6800000,0,1,603,3500000,42,1,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
32,9100000,11,5,850,3000000,50,6,6,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
29,10400000,0,3,614,8500000,50,4,12,Produktif,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
32,4300000,1,1,408,3500000,23,2,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Lancar
34,9900000,4,2,591,2500000,25,9,6,Konsumtif,Sewa,Swasta,Diploma/S1,Bercerai,Lancar
25,6600000,4,2,446,3500000,20,2,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Lancar
39,5200000,4,0,632,2500000,18,1,12,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Macet
30,8200000,2,0,720,3000000,50,7,6,Konsumtif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
15,8800000,2,0,300,6500000,46,4,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
31,6400000,6,3,619,4000000,14,6,6,Konsumtif,Sewa,Swasta,S2/S3,Menikah,Lancar
41,4100000,3,3,653,4500000,12,0,12,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
50,6100000,1,3,300,5000000,41,4,6,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
47,6800000,4,3,767,7500000,14,3,6,Produktif,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
49,9000000,3,0,738,1500000,5,0,6,Pendidikan,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
27,5800000,7,1,850,5500000,37,6,6,Produktif,Milik Sendiri,Swasta,S2/S3,Bercerai,Macet
32,3700000,0,2,620,1500000,50,4,12,Produktif,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
32,6500000,1,3,498,4000000,39,1,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Macet
42,8700000,13,5,850,4000000,50,3,6,Pendidikan,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
42,7100000,4,3,703,4000000,19,1,12,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
33,7700000,4,2,685,2000000,50,3,6,Produktif,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
21,4200000,6,5,366,4000000,19,0,6,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
35,6400000,3,2,545,4000000,25,0,12,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Lancar
38,3800000,1,2,448,4500000,7,2,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
38,5800000,4,3,709,3000000,50,3,12,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
25,7700000,4,1,693,2000000,50,4,6,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Macet
48,8300000,3,0,632,4500000,50,0,24,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
30,4400000,2,1,785,1500000,50,6,12,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
27,5800000,5,3,432,2000000,41,3,6,Konsumtif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
43,6300000,2,3,680,5500000,20,4,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Macet
46,9300000,5,2,850,3000000,11,2,12,Pendidikan,Sewa,Swasta,SMA/Sederajat,Bercerai,Lancar
36,5900000,6,3,730,3000000,8,0,6,Produktif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Macet
16,11200000,5,1,850,1000000,50,3,24,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
33,8700000,0,0,542,4000000,50,2,12,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
67,6800000,5,1,403,2000000,5,1,12,Konsumtif,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Lancar
33,5700000,7,4,850,5000000,37,4,6,Konsumtif,Milik Sendiri,Swasta,Diploma/S1,Menikah,Macet
30,10400000,3,3,704,1500000,50,2,12,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
34,7800000,7,3,770,4000000,50,4,12,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
28,5000000,0,2,643,3500000,48,2,6,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Macet
38,8200000,9,0,850,4000000,5,1,12,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Macet
27,9700000,3,3,648,7000000,50,3,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
36,9800000,6,1,833,3500000,49,2,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Macet
47,4300000,1,0,681,4000000,5,3,6,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
28,7600000,4,1,616,5000000,8,0,6,Produktif,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Macet
43,6000000,1,2,454,5000000,18,3,6,Konsumtif,Milik Sendiri,Swasta,S2/S3,Menikah,Lancar
45,8800000,0,1,675,6000000,50,4,24,Pendidikan,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
20,8800000,2,2,698,4000000,50,3,6,Produktif,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Macet
33,10300000,1,1,588,4000000,50,3,6,Pendidikan,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
35,3200000,1,2,475,2000000,50,1,6,Pendidikan,Dengan Orang Tua,Swasta,S2/S3,Belum Menikah,Macet
39,4700000,0,1,518,4000000,16,2,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Lancar
36,8500000,6,1,850,5000000,50,10,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Macet
45,6200000,2,3,719,6000000,7,0,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
34,8000000,4,0,339,3500000,50,4,12,Pendidikan,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Lancar
37,11800000,2,0,825,1500000,50,1,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Menikah,Macet
43,8200000,10,4,850,5500000,10,0,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Lancar
42,7000000,10,4,850,4000000,50,3,6,Pendidikan,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
39,4600000,2,0,582,2500000,30,2,6,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Lancar
48,6700000,0,1,504,3500000,22,5,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Lancar
31,6800000,1,1,552,4000000,11,0,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
41,7800000,6,2,738,3000000,19,2,6,Pendidikan,Dengan Orang Tua,Pemerintahan,Diploma/S1,Menikah,Lancar
34,8700000,0,2,527,3500000,50,0,6,Konsumtif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
32,5900000,1,0,555,3500000,5,2,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Bercerai,Lancar
31,8700000,4,1,774,4500000,50,4,6,Konsumtif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
38,7800000,2,1,566,2000000,50,1,12,Produktif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
23,9100000,3,3,571,3500000,50,3,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Belum Menikah,Macet
35,10900000,1,1,420,6000000,48,0,6,Pendidikan,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
44,8000000,1,0,542,2500000,21,4,6,Konsumtif,Sewa,Pemerintahan,S2/S3,Menikah,Lancar
43,9200000,2,2,700,5500000,46,2,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Lancar
49,7400000,5,0,660,6500000,29,1,6,Produktif,Dengan Orang Tua,Swasta,S2/S3,Belum Menikah,Macet
38,8200000,6,2,748,3000000,7,1,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Macet
39,7500000,0,1,637,3000000,50,2,6,Produktif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
34,7800000,3,2,770,2500000,45,3,6,Pendidikan,Dengan Orang Tua,Wiraswasta,S2/S3,Bercerai,Macet
46,7700000,11,3,850,5000000,24,2,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Macet
40,6800000,5,0,850,4500000,16,7,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Macet
41,3800000,10,2,814,4000000,21,4,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Belum Menikah,Lancar
35,3600000,2,2,485,5000000,7,1,6,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
37,4600000,1,0,585,6000000,7,1,6,Konsumtif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
39,5400000,1,2,559,3000000,50,3,6,Produktif,Milik Sendiri,Swasta,Diploma/S1,Belum Menikah,Macet
38,11800000,2,3,837,3000000,5,2,6,Pendidikan,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Bercerai,Macet
37,7200000,7,0,850,3500000,15,4,6,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Macet
20,6200000,3,2,792,4000000,50,4,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
32,6600000,0,0,363,2500000,20,3,6,Konsumtif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Lancar
21,8300000,0,0,775,4500000,37,0,6,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
30,3500000,6,3,735,3000000,50,4,6,Produktif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Macet
27,7800000,1,0,569,2500000,50,6,12,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Lancar
35,5700000,0,1,390,4500000,50,1,6,Produktif,Milik Sendiri,Swasta,S2/S3,Belum Menikah,Lancar
34,8100000,3,1,850,4000000,30,7,6,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
19,8900000,2,3,837,3000000,50,3,12,Konsumtif,Sewa,Swasta,SMA/Sederajat,Menikah,Macet
46,4400000,6,1,702,1000000,20,0,12,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Lancar
34,7900000,5,5,792,3500000,9,1,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Bercerai,Lancar
32,8200000,3,1,620,2500000,41,4,12,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Menikah,Lancar
25,7400000,1,6,460,4000000,50,0,6,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
23,9300000,1,4,428,6000000,50,0,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Macet
33,7200000,0,2,598,2500000,50,3,6,Produktif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
30,9100000,3,1,560,1000000,14,1,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Macet
22,6100000,2,3,448,5500000,35,0,6,Produktif,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Macet
32,8300000,7,1,850,2500000,33,5,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Macet
38,6400000,4,1,596,2000000,42,4,6,Pendidikan,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Lancar
42,5300000,10,3,850,2500000,8,1,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
31,6500000,1,0,727,3000000,47,4,12,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
40,7100000,6,2,784,3000000,24,3,6,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Lancar
45,7700000,6,4,777,3000000,10,3,6,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
35,3200000,1,1,505,3500000,50,0,6,Konsumtif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Macet
34,6200000,7,2,569,500000,5,1,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Macet
46,6500000,4,0,850,3000000,47,4,6,Produktif,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Macet
27,11600000,1,0,300,500000,50,4,12,Konsumtif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
33,4900000,2,4,314,4000000,21,0,6,Pendidikan,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Macet
46,5800000,3,2,616,3500000,29,1,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Belum Menikah,Macet
39,3300000,2,1,650,2000000,24,0,6,Produktif,Dengan Orang Tua,Swasta,SMA/Sederajat,Menikah,Lancar
20,6800000,0,3,742,3500000,50,5,12,Konsumtif,Sewa,Swasta,Diploma/S1,Menikah,Macet
13,12200000,4,3,828,4500000,50,3,12,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Macet
36,9500000,1,1,440,5000000,36,1,6,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Belum Menikah,Lancar
48,8500000,0,1,643,3500000,31,0,12,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
47,9400000,3,1,618,5000000,37,1,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Belum Menikah,Macet
30,5000000,2,2,668,4000000,37,1,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Lancar
43,7800000,2,3,850,2000000,24,2,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Bercerai,Lancar
48,7700000,3,3,833,3000000,6,0,12,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Bercerai,Lancar
32,8200000,7,1,850,4000000,29,6,12,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Macet
46,8200000,3,2,535,4000000,5,5,12,Konsumtif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Lancar
34,5700000,4,2,573,3500000,33,0,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Belum Menikah,Macet
25,8100000,8,5,809,1500000,50,3,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
39,9200000,12,3,850,2500000,40,4,6,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Lancar
34,6700000,1,0,847,6000000,50,9,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Macet
34,3700000,0,2,416,2500000,46,0,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Macet
46,6400000,7,3,673,4000000,9,3,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Macet
24,8600000,2,2,686,4000000,50,0,6,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Macet
35,4400000,2,1,850,4500000,50,9,12,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Macet
36,5900000,2,0,338,2000000,33,2,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Lancar
16,6300000,2,1,308,5500000,50,0,12,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
40,5500000,1,2,652,2000000,18,4,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Lancar
34,6600000,1,2,631,3000000,50,4,6,Produktif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Macet
39,8000000,3,0,537,5500000,32,3,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
39,6000000,1,2,709,3500000,50,1,12,Pendidikan,Sewa,Wiraswasta,S2/S3,Menikah,Lancar
53,7300000,11,3,850,8000000,5,2,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Bercerai,Lancar
39,8000000,1,2,544,4000000,25,2,6,Pendidikan,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Bercerai,Macet
40,5800000,1,3,385,4000000,5,3,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Bercerai,Lancar
40,7800000,0,1,711,3000000,16,0,6,Konsumtif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Lancar
32,10700000,4,1,571,3500000,32,0,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Macet
26,3900000,2,0,513,5500000,45,2,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
40,8700000,6,0,850,4500000,28,6,6,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Macet
36,9500000,2,0,504,5500000,22,2,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
39,6700000,2,3,850,2500000,5,1,6,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
31,10000000,4,0,300,3500000,50,6,6,Pendidikan,Milik Sendiri,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
38,6700000,6,3,716,4000000,22,0,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Macet
39,11300000,0,0,509,2500000,5,4,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Bercerai,Lancar
28,6800000,2,1,623,2500000,44,2,12,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Menikah,Lancar
36,5200000,2,1,740,4000000,50,6,12,Produktif,Sewa,Wiraswasta,Diploma/S1,Menikah,Macet
41,6000000,0,1,638,2000000,11,4,12,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
34,9300000,3,2,498,4000000,50,0,12,Produktif,Milik Sendiri,Swasta,Diploma/S1,Belum Menikah,Lancar
37,5400000,3,2,579,1500000,50,0,12,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Macet
36,5600000,1,1,716,2500000,50,1,12,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Lancar
38,6900000,2,3,662,3500000,5,1,6,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Lancar
43,6400000,3,1,613,6000000,50,5,6,Pendidikan,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
43,4900000,1,1,440,3500000,50,1,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
47,8000000,6,5,850,6500000,38,3,6,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
34,8600000,15,7,850,5000000,50,5,6,Pendidikan,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
23,5000000,5,0,557,4000000,50,7,6,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
43,5900000,4,0,715,3000000,46,3,12,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Macet
35,1600000,3,2,650,5500000,5,4,6,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Lancar
9,8400000,1,4,510,3500000,50,4,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Macet
31,4000000,3,1,763,5000000,50,4,6,Konsumtif,Sewa,Wiraswasta,S2/S3,Menikah,Macet
37,10600000,2,2,627,3000000,45,1,6,Produktif,Dengan Orang Tua,Swasta,S2/S3,Menikah,Lancar
50,5100000,11,3,850,6000000,8,4,12,Pendidikan,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Lancar
39,7100000,9,3,850,5000000,35,0,12,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
38,2400000,7,1,850,3000000,49,4,12,Produktif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Macet
