Usia,Pendapatan_Bulanan,Lama_Bekerja_Tahun,Jumlah_Tanggungan,Skor_Kredit_Internal,Jumlah_Pinjaman_Diminta,Rasio_Utang_Pendapatan,Jml_Keterlambatan_Bayar_12bln,Durasi_Pinjaman_Bulan,Tujuan_Pinjaman,Status_Kepemilikan_Rumah,Jenis_Pekerjaan,Pendidikan_Terakhir,Status_Pernikahan,Prediksi_Status_Pinjaman
36,5800000,5,3,728,4500000,23,2,6,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Macet
43,6900000,0,0,639,5000000,32,3,12,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
28,6300000,2,2,669,6000000,50,3,12,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Lancar
30,9800000,4,1,801,7000000,8,2,6,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Macet
36,10000000,12,3,850,1000000,17,3,12,Pendidikan,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Lancar
41,10500000,0,2,674,3000000,6,0,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
32,5200000,7,0,791,3500000,8,1,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Macet
32,6600000,1,3,683,2500000,50,2,12,Pendidikan,Sewa,Swasta,SMA/Sederajat,Menikah,Lancar
30,6500000,6,2,850,5500000,50,4,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Macet
19,6100000,0,1,751,3000000,45,3,6,Konsumtif,Sewa,Wiraswasta,S2/S3,Bercerai,Lancar
42,4500000,5,0,805,3000000,45,4,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Macet
34,9000000,4,0,520,2000000,50,3,12,Pendidikan,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
19,9200000,0,0,850,3500000,17,0,6,Konsumtif,Sewa,Swasta,Diploma/S1,Bercerai,Lancar
30,8200000,1,3,487,4000000,50,2,6,Produktif,Sewa,Swasta,S2/S3,Belum Menikah,Macet
28,3300000,5,4,722,2500000,34,1,6,Produktif,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Lancar
51,6100000,8,4,515,4500000,5,10,12,Konsumtif,Milik Sendiri,Swasta,S2/S3,Belum Menikah,Lancar
41,6200000,5,2,785,2000000,49,0,12,Produktif,Sewa,Swasta,Diploma/S1,Menikah,Lancar
25,9900000,1,2,615,5000000,50,1,12,Konsumtif,Sewa,Swasta,S2/S3,Menikah,Lancar
37,7600000,0,2,741,4000000,50,5,6,Pendidikan,Sewa,Pemerintahan,Diploma/S1,Bercerai,Macet
37,3600000,1,1,454,4000000,33,2,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Belum Menikah,Macet
49,6400000,1,0,720,2500000,49,1,24,Produktif,Sewa,Wiraswasta,Diploma/S1,Bercerai,Lancar
54,7500000,4,2,356,3000000,5,5,12,Pendidikan,Milik Sendiri,Swasta,S2/S3,Menikah,Lancar
27,9800000,0,3,469,3500000,50,1,6,Produktif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Macet
34,9000000,1,0,342,1000000,39,4,6,Pendidikan,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Lancar
42,7600000,6,5,834,2000000,50,4,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
29,6500000,2,3,664,3500000,50,5,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Belum Menikah,Macet
38,7600000,1,2,850,6000000,12,0,6,Konsumtif,Dengan Orang Tua,Wiraswasta,S2/S3,Bercerai,Lancar
44,10400000,0,2,395,4000000,50,1,6,Konsumtif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Macet
37,8700000,1,1,669,3000000,50,4,6,Produktif,Sewa,Swasta,SMA/Sederajat,Menikah,Macet
43,7800000,3,4,850,6000000,23,1,6,Konsumtif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
49,6200000,8,2,843,4000000,22,1,6,Pendidikan,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Lancar
45,5000000,0,0,601,3000000,36,1,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Menikah,Lancar
44,6800000,2,3,776,4500000,16,1,6,Konsumtif,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
25,7300000,2,3,569,4000000,50,5,6,Produktif,Sewa,Swasta,Diploma/S1,Belum Menikah,Lancar
35,8700000,1,1,602,3500000,33,1,6,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Lancar
47,3300000,10,3,850,3500000,14,0,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Lancar
34,6300000,3,2,424,2000000,48,0,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Belum Menikah,Macet
46,8800000,1,1,592,1500000,5,3,6,Produktif,Dengan Orang Tua,Swasta,S2/S3,Bercerai,Lancar
43,6300000,8,4,850,3000000,10,3,6,Konsumtif,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Macet
37,7700000,5,4,820,1500000,21,0,6,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
40,5900000,1,1,627,6000000,29,1,6,Pendidikan,Dengan Orang Tua,Wiraswasta,S2/S3,Bercerai,Lancar
33,6800000,0,2,678,4500000,50,4,12,Produktif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
31,10300000,1,0,438,3000000,50,4,6,Produktif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
52,5100000,1,3,619,3500000,12,7,6,Pendidikan,Milik Sendiri,Swasta,Diploma/S1,Bercerai,Lancar
34,8600000,8,2,675,4000000,15,4,12,Pendidikan,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Lancar
31,6300000,7,4,792,5000000,50,2,6,Pendidikan,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
35,3800000,0,1,676,2000000,50,8,12,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
49,9200000,7,2,718,5000000,8,1,6,Konsumtif,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Macet
45,7400000,2,3,502,3000000,20,1,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Lancar
31,6700000,2,2,622,3500000,50,5,6,Produktif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
35,5900000,2,3,720,4000000,45,0,6,Produktif,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Lancar
34,5100000,2,1,623,3500000,38,2,6,Pendidikan,Dengan Orang Tua,Swasta,SMA/Sederajat,Menikah,Lancar
33,8000000,7,3,772,4000000,26,1,6,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Menikah,Lancar
34,2000000,0,2,375,4500000,39,0,6,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
41,5500000,5,5,545,3000000,6,4,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Lancar
39,10000000,2,0,508,3500000,37,1,12,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
21,6400000,7,2,850,3500000,50,3,12,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Macet
54,7300000,5,1,823,4500000,7,0,6,Pendidikan,Sewa,Pemerintahan,Diploma/S1,Bercerai,Lancar
46,5800000,0,2,526,4000000,5,1,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
31,9600000,7,3,742,3000000,23,1,6,Pendidikan,Dengan Orang Tua,Wiraswasta,S2/S3,Menikah,Lancar
39,7900000,1,2,342,5000000,14,0,6,Pendidikan,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Macet
27,10900000,5,4,732,2500000,50,5,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Menikah,Lancar
60,7800000,7,2,850,3000000,49,4,6,Pendidikan,Sewa,Swasta,Diploma/S1,Menikah,Lancar
49,7400000,6,0,817,4500000,17,3,6,Produktif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Bercerai,Macet
37,6600000,3,2,379,5000000,50,1,12,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Belum Menikah,Lancar
42,4600000,4,1,688,6500000,39,0,12,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Menikah,Lancar
37,1700000,8,3,803,5000000,26,1,6,Pendidikan,Sewa,Pemerintahan,Diploma/S1,Menikah,Lancar
53,5100000,8,5,850,6000000,5,4,6,Produktif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
26,6500000,1,4,459,6000000,47,1,6,Produktif,Dengan Orang Tua,Swasta,S2/S3,Menikah,Macet
39,8200000,1,1,509,3500000,16,4,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Menikah,Lancar
40,6100000,8,2,840,5500000,5,2,6,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
26,9300000,3,2,596,4000000,38,1,6,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Macet
48,8300000,0,3,615,4500000,8,2,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Lancar
40,6400000,6,2,640,3500000,5,1,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Macet
46,10800000,2,0,706,2500000,29,0,12,Produktif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
21,7500000,2,0,740,3500000,45,4,6,Konsumtif,Sewa,Wiraswasta,S2/S3,Bercerai,Lancar
26,8300000,3,1,662,4500000,48,13,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
36,5100000,1,2,758,1500000,29,1,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
37,7400000,2,2,707,2500000,50,1,24,Produktif,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
29,5600000,4,1,418,5500000,48,2,12,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Belum Menikah,Lancar
31,3900000,3,3,630,3500000,25,2,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Bercerai,Lancar
31,7800000,6,6,769,4000000,33,0,6,Konsumtif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
20,7500000,0,1,850,500000,24,2,6,Konsumtif,Sewa,Wiraswasta,Diploma/S1,Bercerai,Lancar
40,3600000,0,2,808,5000000,46,7,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Macet
47,3500000,0,2,499,5000000,26,1,6,Produktif,Milik Sendiri,Swasta,Diploma/S1,Menikah,Lancar
51,6500000,1,2,498,3500000,35,6,6,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Lancar
32,8800000,5,3,811,4000000,50,3,6,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Macet
46,4700000,1,0,623,6500000,13,7,12,Konsumtif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
34,7000000,0,1,742,5000000,18,2,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
17,8400000,3,2,850,5000000,36,2,12,Produktif,Dengan Orang Tua,Swasta,S2/S3,Bercerai,Macet
35,6300000,2,3,504,5500000,41,1,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
38,6600000,1,4,411,3000000,50,0,6,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Belum Menikah,Macet
27,8400000,3,2,589,2500000,50,4,6,Produktif,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
39,3300000,1,3,850,3500000,11,2,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
39,3500000,0,1,604,4500000,50,4,6,Pendidikan,Sewa,Wiraswasta,SMA/Sederajat,Belum Menikah,Lancar
42,7700000,2,1,300,3500000,10,4,6,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
52,7000000,9,4,850,3500000,49,1,12,Pendidikan,Sewa,Pemerintahan,S2/S3,Menikah,Lancar
39,7000000,6,3,639,3000000,5,1,6,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Macet
21,6300000,3,2,692,6000000,50,1,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Menikah,Macet
27,6800000,3,1,647,4500000,50,1,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
30,7100000,9,2,850,4000000,5,1,6,Produktif,Milik Sendiri,Swasta,SMA/Sederajat,Bercerai,Macet
39,7000000,3,2,714,5500000,43,3,6,Produktif,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Macet
36,5700000,5,0,415,5000000,34,2,12,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
46,6900000,1,1,436,1500000,32,3,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Menikah,Lancar
56,7300000,2,3,659,3000000,10,1,6,Produktif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Lancar
32,3200000,13,7,850,4500000,50,4,6,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
28,3000000,10,5,802,4000000,50,6,6,Pendidikan,Sewa,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
39,7900000,1,0,730,4500000,21,1,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Bercerai,Lancar
33,7000000,6,1,664,3500000,5,1,6,Produktif,Milik Sendiri,Wiraswasta,SMA/Sederajat,Menikah,Macet
44,4900000,10,3,850,4000000,27,5,6,Pendidikan,Dengan Orang Tua,Swasta,S2/S3,Menikah,Lancar
32,5200000,1,2,816,2000000,50,6,6,Produktif,Sewa,Pemerintahan,Diploma/S1,Menikah,Macet
50,10700000,4,1,568,4000000,42,7,6,Pendidikan,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
43,6100000,4,2,780,5000000,50,2,12,Konsumtif,Sewa,Pemerintahan,S2/S3,Belum Menikah,Macet
40,6000000,1,1,558,4500000,7,3,6,Konsumtif,Sewa,Wiraswasta,SMA/Sederajat,Menikah,Lancar
39,8500000,8,3,765,4000000,50,7,6,Pendidikan,Dengan Orang Tua,Swasta,S2/S3,Belum Menikah,Lancar
34,7300000,5,3,514,4000000,5,4,6,Produktif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Menikah,Macet
33,7800000,7,5,822,4500000,50,8,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
48,6600000,4,4,850,1500000,12,3,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Bercerai,Lancar
31,6700000,0,3,315,3500000,28,0,6,Pendidikan,Dengan Orang Tua,Swasta,SMA/Sederajat,Menikah,Macet
29,6200000,1,2,610,1000000,50,5,6,Produktif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
33,5000000,2,0,453,3000000,37,0,6,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Lancar
42,8900000,8,3,758,3500000,50,6,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
27,6600000,9,2,486,3500000,45,5,6,Konsumtif,Dengan Orang Tua,Swasta,Diploma/S1,Bercerai,Lancar
36,6600000,1,1,632,5000000,50,5,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Belum Menikah,Macet
41,8900000,3,0,665,1500000,19,1,12,Produktif,Sewa,Wiraswasta,Diploma/S1,Bercerai,Lancar
40,9400000,4,3,489,2500000,18,3,6,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Belum Menikah,Macet
16,7800000,3,3,759,6500000,50,4,12,Konsumtif,Sewa,Swasta,Diploma/S1,Belum Menikah,Macet
34,4900000,1,1,850,3500000,50,5,12,Produktif,Sewa,Pemerintahan,S2/S3,Bercerai,Macet
25,5100000,1,3,531,4000000,50,2,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
36,8100000,6,3,850,3500000,11,6,12,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
36,5600000,3,4,561,4000000,50,1,6,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
45,8600000,1,1,711,5000000,7,1,6,Konsumtif,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
52,4900000,1,2,772,4000000,25,6,6,Pendidikan,Milik Sendiri,Pemerintahan,S2/S3,Bercerai,Lancar
46,6900000,6,2,839,3500000,50,1,12,Pendidikan,Sewa,Wiraswasta,Diploma/S1,Menikah,Lancar
33,7400000,1,0,833,2500000,11,1,6,Konsumtif,Sewa,Swasta,S2/S3,Bercerai,Lancar
39,4800000,5,2,688,2000000,26,1,6,Produktif,Milik Sendiri,Wiraswasta,S2/S3,Menikah,Macet
19,3900000,1,2,468,3500000,50,4,6,Konsumtif,Milik Sendiri,Pemerintahan,Diploma/S1,Belum Menikah,Lancar
28,6100000,5,1,850,1000000,12,8,12,Konsumtif,Sewa,Wiraswasta,S2/S3,Bercerai,Lancar
34,8900000,0,1,562,4000000,10,0,6,Konsumtif,Milik Sendiri,Wiraswasta,S2/S3,Bercerai,Lancar
42,8500000,4,1,669,500000,43,2,12,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Macet
51,6700000,4,2,330,2500000,44,9,6,Pendidikan,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Lancar
39,4600000,0,0,539,6500000,50,4,12,Pendidikan,Dengan Orang Tua,Swasta,S2/S3,Belum Menikah,Lancar
31,3900000,2,3,586,4000000,50,8,6,Pendidikan,Sewa,Wiraswasta,S2/S3,Belum Menikah,Lancar
35,8900000,3,3,606,5500000,44,1,6,Konsumtif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
30,3600000,0,1,356,4500000,33,0,6,Pendidikan,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Lancar
39,9200000,1,2,300,3000000,50,0,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Belum Menikah,Macet
23,7100000,2,3,582,3500000,50,4,6,Konsumtif,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Macet
43,8800000,0,0,571,5000000,50,6,12,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
41,5300000,0,4,300,4000000,24,1,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Belum Menikah,Macet
58,5600000,4,5,850,5500000,6,0,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Bercerai,Lancar
40,9800000,2,0,608,4000000,50,1,6,Konsumtif,Sewa,Wiraswasta,S2/S3,Belum Menikah,Macet
45,4500000,5,0,621,2000000,7,0,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Menikah,Lancar
40,6400000,2,4,423,3000000,50,4,6,Konsumtif,Milik Sendiri,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
17,7400000,1,0,471,3500000,50,0,12,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Menikah,Lancar
30,6000000,3,1,829,3000000,50,7,6,Produktif,Dengan Orang Tua,Wiraswasta,SMA/Sederajat,Menikah,Macet
49,4900000,2,1,758,1000000,50,1,12,Produktif,Sewa,Wiraswasta,Diploma/S1,Belum Menikah,Lancar
37,7100000,0,2,527,5000000,44,3,6,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Menikah,Macet
40,7300000,0,2,679,2500000,50,4,6,Pendidikan,Sewa,Swasta,SMA/Sederajat,Belum Menikah,Lancar
50,6800000,10,3,850,6500000,49,5,6,Pendidikan,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Lancar
42,7400000,6,2,773,3500000,25,0,6,Produktif,Dengan Orang Tua,Pemerintahan,Diploma/S1,Menikah,Lancar
39,10900000,9,0,850,4000000,50,9,12,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Macet
39,7000000,6,1,748,3500000,39,1,6,Konsumtif,Sewa,Pemerintahan,SMA/Sederajat,Belum Menikah,Macet
46,5800000,4,1,734,5000000,27,0,12,Pendidikan,Dengan Orang Tua,Wiraswasta,Diploma/S1,Bercerai,Lancar
26,8800000,3,1,300,4000000,50,3,12,Pendidikan,Milik Sendiri,Pemerintahan,Diploma/S1,Menikah,Lancar
42,5400000,3,2,521,4000000,24,5,6,Pendidikan,Dengan Orang Tua,Pemerintahan,S2/S3,Bercerai,Lancar
26,5800000,3,1,599,4000000,50,2,6,Konsumtif,Dengan Orang Tua,Swasta,SMA/Sederajat,Belum Menikah,Macet
45,8100000,7,4,712,4000000,7,6,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Menikah,Lancar
32,8400000,0,2,614,9000000,46,0,6,Produktif,Sewa,Wiraswasta,SMA/Sederajat,Bercerai,Lancar
46,7300000,9,4,850,5500000,50,4,6,Pendidikan,Sewa,Swasta,S2/S3,Belum Menikah,Lancar
49,8100000,1,3,499,7500000,21,2,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Menikah,Lancar
42,10800000,8,3,805,2500000,50,6,6,Pendidikan,Sewa,Pemerintahan,S2/S3,Belum Menikah,Lancar
44,7700000,3,1,822,1500000,46,5,12,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Menikah,Macet
43,8100000,1,1,710,3000000,47,1,6,Pendidikan,Sewa,Swasta,S2/S3,Menikah,Lancar
27,8200000,9,0,850,4500000,50,11,12,Produktif,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Bercerai,Macet
43,6800000,4,4,440,6500000,8,1,6,Pendidikan,Milik Sendiri,Swasta,SMA/Sederajat,Menikah,Lancar
43,5600000,6,0,734,3500000,33,1,12,Produktif,Milik Sendiri,Swasta,S2/S3,Menikah,Macet
35,4300000,7,5,850,3000000,50,1,12,Pendidikan,Sewa,Wiraswasta,S2/S3,Menikah,Lancar
36,8000000,8,3,748,6000000,27,2,6,Pendidikan,Milik Sendiri,Swasta,S2/S3,Menikah,Lancar
37,5700000,1,1,602,5000000,50,0,24,Konsumtif,Sewa,Swasta,SMA/Sederajat,Menikah,Lancar
32,5900000,1,2,711,5000000,38,3,6,Pendidikan,Dengan Orang Tua,Pemerintahan,SMA/Sederajat,Bercerai,Macet
15,7600000,4,4,584,4500000,47,1,6,Produktif,Milik Sendiri,Swasta,Diploma/S1,Menikah,Macet
46,6800000,6,3,506,5500000,29,12,6,Konsumtif,Dengan Orang Tua,Pemerintahan,S2/S3,Menikah,Lancar
29,4200000,5,0,645,5500000,19,1,6,Konsumtif,Dengan Orang Tua,Swasta,S2/S3,Menikah,Macet
33,8400000,5,1,819,3500000,50,3,6,Produktif,Sewa,Pemerintahan,S2/S3,Belum Menikah,Macet
23,4400000,0,1,797,1500000,41,5,6,Produktif,Milik Sendiri,Wiraswasta,Diploma/S1,Bercerai,Lancar
