order_id,customer_tier,payment_method,num_items,order_value,customer_city,device_type,past_returns,account_age_days,shipping_speed,is_fraud
O0076,Platinum,CoD,1,257745,,DESKTOP,2,727,express,Yes
O0077,Gold,cod,1,,,DESKTOP,1,18,express,No
O0078,Platinum,cod,2,123106,,mobile,1,589,express,No
O0079,gold,CoD,5,339156,,Desktop,0,622,express,No
O0080,gold,cod,3,396413,,DESKTOP,4,14,express,No
O0081,silver,COD,3,425765,,DESKTOP,4,1122,express,No
O0082,Gold,cod,5,174008,,mobile,3,958,express,No
O0083,gold,COD,3,394061,surabaya,Desktop,2,1093,express,No
O0084,silver,COD,2,87510,,mobile,0,810,regular,No
O0085,silver,CoD,2,267854,,mobile,3,1322,regular,No
O0086,Silver,CoD,1,263287,,DESKTOP,,665,express,No
O0087,Gold,cod,4,,,Mobile,0,1216,regular,No
O0088,gold,cod,4,267862,,DESKTOP,0,1011,express,No
O0089,Platinum,CoD,2,176726,,DESKTOP,0,576,express,Yes
O0090,Silver,CoD,1,422615,,DESKTOP,4,957,regular,No
O0091,Gold,CoD,5,224631,,mobile,3,108,regular,No
O0092,gold,COD,4,60023,,Desktop,5,1265,express,No
O0093,Platinum,CoD,4,79382,,mobile,4,242,regular,No
O0094,silver,COD,4,345819,,Mobile,2,877,regular,No
O0095,silver,CoD,3,489641,,mobile,2,665,regular,No
O0096,silver,cod,1,286060,,mobile,2,295,regular,No
O0097,Platinum,COD,1,58275,,Mobile,3,598,regular,Yes
O0098,Gold,cod,4,355678,,DESKTOP,2,1024,express,No
O0099,gold,COD,3,130761,,Desktop,5,1210,express,Yes
O0100,silver,cod,5,468906,,Mobile,4,549,regular,No
O0101,Gold,COD,3,155154,,Desktop,0,144,express,No
O0102,Gold,cod,2,255696,,DESKTOP,0,302,regular,No
O0103,Silver,cod,1,94028,,Mobile,2,1346,express,No
O0104,Platinum,cod,4,107628,,Desktop,4,804,regular,No
O0105,Gold,cod,1,349441,,Mobile,1,535,express,No
O0106,gold,cod,2,435682,,Desktop,5,1326,express,No
O0107,silver,CoD,5,109359,Surabaya,Mobile,0,1348,express,No
O0108,Platinum,COD,2,414568,,Desktop,1,707,regular,No
O0109,gold,CoD,4,322566,,DESKTOP,5,1178,express,No
O0110,Gold,CoD,4,217138,,Mobile,2,573,regular,No
O0111,gold,COD,1,452376,,Mobile,5,631,express,No
O0112,gold,cod,2,446649,,mobile,0,562,regular,No
O0113,gold,COD,5,373657,,mobile,4,165,regular,No
O0114,silver,cod,5,463019,,Desktop,,195,regular,Yes
O0115,Gold,cod,3,407882,,DESKTOP,3,215,express,No
O0116,Silver,cod,2,228776,,DESKTOP,2,1376,regular,Yes
O0117,silver,cod,3,404814,,DESKTOP,4,1138,express,No
O0118,Gold,COD,5,464321,,Mobile,3,313,express,Yes
O0119,silver,CoD,3,,,mobile,1,933,express,No
O0120,Platinum,COD,3,200229,,DESKTOP,5,774,express,Yes
O0121,Platinum,cod,5,,,mobile,3,1170,express,No
O0122,Gold,COD,2,129677,,DESKTOP,4,736,express,No
O0123,Silver,CoD,4,187379,,Desktop,4,606,express,No
O0124,Gold,cod,4,200722,,Desktop,5,249,express,No
O0125,gold,cod,4,126177,,mobile,3,614,express,No
O0126,Gold,CoD,5,468253,,mobile,0,924,express,No
O0127,Silver,CoD,1,420962,,Mobile,3,1145,express,No
O0128,gold,COD,5,282595,,Mobile,6,187,regular,No
O0129,Platinum,cod,5,94555,,Mobile,5,945,express,No
O0130,gold,cod,2,94555,,Mobile,4,949,regular,Yes
O0131,Gold,COD,4,152158,,DESKTOP,5,1248,regular,No
O0132,Platinum,COD,3,151167,,Mobile,5,486,regular,No
O0133,gold,COD,5,160697,,Desktop,4,337,express,No
O0134,Platinum,COD,5,225859,,Mobile,1,80,express,No
O0135,Gold,CoD,5,319235,,Mobile,1,1355,express,No
O0136,silver,cod,5,119315,,mobile,3,1101,regular,No
O0137,Gold,cod,3,193557,,Desktop,6,1061,express,No
O0138,gold,cod,1,88829,,mobile,0,1172,regular,No
O0139,Gold,COD,1,75434,,mobile,0,99,express,No
O0140,Platinum,cod,3,211610,,Mobile,1,1021,regular,No
O0141,Silver,cod,3,174965,,Mobile,5,986,express,Yes
O0142,Gold,CoD,5,480510,,DESKTOP,2,522,express,No
O0143,gold,CoD,3,366891,,Mobile,3,118,express,No
O0144,silver,cod,1,61058,,DESKTOP,6,1309,express,Yes
O0145,Gold,cod,1,242609,,DESKTOP,1,479,regular,No
O0146,Gold,COD,1,359177,,DESKTOP,4,1205,regular,No
O0147,Platinum,cod,4,455074,,Desktop,4,490,regular,No
O0148,gold,cod,5,493744,,DESKTOP,6,364,express,No
O0149,gold,COD,3,272294,,Desktop,0,536,regular,No
O0150,Platinum,COD,1,184084,,Mobile,,986,express,No
O0151,Platinum,CoD,4,447703,,DESKTOP,3,775,regular,No
O0152,gold,COD,3,,,Desktop,0,202,express,No
O0153,Silver,COD,5,76624,,mobile,1,757,express,No
O0154,Silver,COD,4,115879,,Desktop,4,917,regular,No
O0155,gold,cod,2,106885,,mobile,0,905,express,No
O0156,gold,CoD,5,481565,Bandung,Mobile,5,538,regular,No
O0157,Platinum,COD,5,206651,,Desktop,6,1484,regular,No
O0158,silver,CoD,4,362669,,Desktop,0,1108,regular,No
O0159,Gold,COD,2,197982,,Mobile,4,530,express,No
O0160,Gold,COD,5,330588,bandung,mobile,6,40,express,No
O0161,gold,cod,1,300066,,mobile,2,1273,express,No
O0162,Silver,cod,4,349691,,Mobile,6,792,regular,No
O0163,Gold,CoD,4,149879,,Mobile,2,1031,express,No
O0164,silver,CoD,2,211878,,Desktop,4,42,express,No
O0165,gold,cod,1,498252,,Desktop,3,1353,regular,No
O0166,Silver,CoD,5,,,Mobile,1,1375,regular,No
O0167,silver,COD,3,217993,,Desktop,3,560,regular,No
O0168,silver,cod,1,405728,,Desktop,2,95,regular,No
O0169,Silver,cod,3,157665,Bandung,DESKTOP,3,560,regular,No
O0170,silver,cod,4,192772,,Desktop,2,1009,express,No
O0171,Silver,CoD,3,447684,,DESKTOP,0,1419,regular,Yes
O0172,gold,COD,4,432478,,DESKTOP,1,78,regular,No
O0173,gold,COD,1,51160,,mobile,4,467,regular,No
O0174,gold,cod,1,192772,,mobile,0,264,express,Yes
O0175,Gold,cod,4,,,mobile,2,69,regular,No
O0176,gold,CoD,1,335515,,Desktop,3,202,regular,No
O0177,silver,COD,4,376827,,mobile,3,184,regular,No
O0178,gold,cod,4,409053,,mobile,1,33,regular,No
O0179,silver,cod,5,392838,,Mobile,4,46,regular,No
O0180,silver,CoD,2,292625,,Desktop,4,1050,express,No
O0181,silver,COD,2,148868,,DESKTOP,0,1400,regular,Yes
O0182,gold,CoD,3,67192,,DESKTOP,5,479,regular,No
O0183,silver,cod,2,365689,,Desktop,6,1415,express,No
O0184,Gold,COD,1,93396,,Desktop,2,40,express,No
O0185,Gold,CoD,3,94646,,mobile,,938,regular,No
O0186,gold,COD,5,174293,,DESKTOP,2,348,express,No
O0187,Platinum,COD,4,390233,,DESKTOP,3,268,regular,No
O0188,Silver,cod,1,,,mobile,1,638,express,Yes
O0189,silver,cod,2,337861,,Desktop,3,96,regular,No
O0190,Gold,COD,5,,,Desktop,6,1250,express,No
O0191,Platinum,CoD,4,262515,,Mobile,1,635,regular,No
O0192,gold,cod,4,281300,,DESKTOP,6,715,express,No
O0193,Gold,CoD,5,156491,,DESKTOP,6,176,express,No
O0194,Gold,COD,3,336922,,Desktop,1,1190,regular,No
O0195,Platinum,cod,5,,,DESKTOP,6,102,express,No
O0196,Platinum,cod,1,,,DESKTOP,5,177,express,Yes
O0197,Silver,COD,2,104128,,Mobile,4,195,express,No
O0198,Platinum,cod,3,,,Mobile,3,1171,express,No
O0199,silver,COD,5,125547,,Desktop,0,939,regular,No
O0200,Platinum,cod,5,136151,,DESKTOP,4,678,express,No
O0201,Gold,COD,4,77102,,DESKTOP,6,1145,express,No
O0202,Platinum,cod,2,53841,,Mobile,5,869,express,No
O0203,silver,COD,1,328663,,Mobile,,973,regular,No
O0204,Silver,cod,4,86888,,DESKTOP,3,490,regular,No
O0205,Silver,cod,4,298134,,Desktop,1,289,express,No
O0206,silver,CoD,4,312420,,mobile,2,1016,regular,No
O0207,Platinum,cod,1,402011,,DESKTOP,5,303,express,No
O0208,Gold,COD,5,251027,,Mobile,0,1458,regular,No
O0209,Silver,COD,2,428553,,mobile,3,684,regular,Yes
O0210,Platinum,COD,2,341780,,Desktop,6,902,express,Yes
O0211,Platinum,cod,2,486774,,Desktop,2,79,express,No
O0212,Silver,COD,2,82000,,Mobile,5,1442,express,No
O0213,silver,CoD,4,107298,,Desktop,2,804,regular,No
O0214,gold,CoD,2,158313,,mobile,3,745,express,No
O0215,silver,COD,4,288610,,Mobile,4,362,express,No
O0216,silver,CoD,5,,,mobile,6,1177,regular,No
O0217,gold,CoD,4,,,Mobile,6,426,regular,No
O0218,silver,cod,4,,,Desktop,4,1322,regular,No
O0219,Gold,CoD,2,440774,,Desktop,4,217,express,No
O0220,silver,COD,5,116022,,mobile,3,1469,regular,Yes
O0221,silver,cod,4,330928,,mobile,6,450,express,No
O0222,Silver,CoD,1,351940,,Desktop,,636,regular,No
O0223,Gold,COD,4,231923,,Mobile,2,1418,regular,No
O0224,silver,COD,3,225391,,Mobile,1,35,express,No
O0225,Gold,COD,2,52287,,DESKTOP,3,60,express,No
O0226,silver,CoD,4,370896,,Desktop,3,663,regular,No
O0227,Platinum,COD,1,162523,,mobile,4,737,regular,No
O0228,Silver,cod,3,318984,,Desktop,1,935,regular,No
O0229,gold,COD,2,56645,,Mobile,6,292,express,No
O0230,silver,COD,4,241191,,Mobile,0,697,regular,No
O0231,Gold,cod,2,487869,,Desktop,1,770,express,No
O0232,Gold,COD,2,240209,,DESKTOP,6,379,regular,No
O0233,Platinum,CoD,3,455074,surabaya,Mobile,2,152,express,No
O0234,Gold,CoD,4,476597,,mobile,4,565,express,No
O0235,Silver,CoD,2,284865,,mobile,6,467,express,No
O0236,Gold,cod,4,209174,,Mobile,5,303,express,No
O0237,silver,COD,3,,Surabaya,DESKTOP,5,1126,regular,No
O0238,gold,cod,3,106885,Bandung,Mobile,4,64,express,No
O0239,silver,COD,4,383400,,mobile,1,1147,regular,No
O0240,gold,cod,5,245284,,mobile,5,1161,express,No
O0241,gold,CoD,3,195362,,mobile,4,284,regular,No
O0242,Platinum,COD,4,451201,,mobile,1,1015,regular,No
O0243,Gold,cod,3,256712,,mobile,4,884,express,No
O0244,silver,cod,3,488983,,DESKTOP,3,1213,express,No
O0245,silver,COD,4,,Medan,Mobile,5,64,regular,No
O0246,Gold,CoD,2,200852,,Mobile,3,204,express,No
O0247,gold,cod,5,,,mobile,3,994,regular,Yes
O0248,Gold,COD,5,68875,,Mobile,4,1166,regular,No
O0249,Gold,cod,1,54558,,DESKTOP,0,1483,regular,No
O0250,Silver,COD,3,401995,,Desktop,5,868,regular,No
O0251,gold,CoD,3,285868,Medan,Desktop,1,1432,regular,Yes
O0252,Platinum,COD,5,178934,,Desktop,6,1337,regular,No
O0253,Gold,CoD,2,65458,,Desktop,3,401,regular,No
O0254,Silver,COD,3,133296,,mobile,,62,regular,No
O0255,gold,cod,3,330594,Jakarta,DESKTOP,2,1205,express,No
O0256,Silver,cod,3,424367,,Desktop,0,1078,express,No
O0257,gold,cod,4,162910,,DESKTOP,3,35,regular,No
O0258,gold,CoD,4,182382,,DESKTOP,1,1340,regular,No
O0259,Gold,cod,5,341793,,Mobile,,227,regular,No
O0260,silver,COD,5,480754,,Desktop,0,1409,regular,Yes
O0261,gold,COD,5,75659,,mobile,0,888,regular,No
O0262,silver,cod,5,358002,,Desktop,6,680,express,No
O0263,Gold,COD,5,178149,,Desktop,4,74,regular,Yes
O0264,gold,CoD,4,438660,,DESKTOP,0,1298,express,No
O0265,Silver,COD,3,477656,,Mobile,6,612,regular,No
O0266,Platinum,cod,2,191055,,mobile,3,1204,express,No
O0267,silver,cod,4,331396,,Mobile,5,379,regular,No
O0268,Gold,CoD,2,120576,,Mobile,4,880,express,No
O0269,gold,cod,1,337796,,Desktop,6,130,regular,No
O0270,Silver,cod,4,98133,,mobile,0,317,express,No
O0271,silver,COD,2,315378,,mobile,2,1239,express,No
O0272,gold,COD,2,233211,,Desktop,,229,regular,No
O0273,Silver,cod,4,453895,,Desktop,1,64,regular,No
O0274,Silver,CoD,1,499306,,Mobile,5,708,express,No
O0275,silver,cod,5,277016,,mobile,1,40,express,No
O0276,Gold,CoD,3,364282,,Mobile,0,173,express,No
O0277,silver,CoD,5,383405,,Desktop,2,255,regular,Yes
O0278,Gold,CoD,5,314613,,Desktop,1,1303,express,No
O0279,silver,cod,1,234394,,DESKTOP,2,1385,express,No
O0280,Silver,CoD,2,478779,,DESKTOP,2,110,express,No
O0281,Platinum,COD,2,222977,jakarta,mobile,4,318,express,No
O0282,silver,cod,4,182382,,Mobile,5,935,express,No
O0283,gold,cod,4,66379,,Mobile,1,1423,express,No
O0284,silver,CoD,5,402960,,mobile,1,687,express,Yes
O0285,Platinum,cod,4,,,Desktop,6,169,express,No
O0286,Gold,CoD,4,66379,,Desktop,0,1467,express,No
O0287,gold,CoD,1,194714,,Mobile,1,936,express,No
O0288,Silver,CoD,5,,,mobile,2,188,express,No
O0289,gold,cod,4,228897,,DESKTOP,6,886,regular,Yes
O0290,gold,COD,5,244235,,mobile,4,1461,regular,No
O0291,Gold,cod,1,68870,,DESKTOP,1,1425,regular,No
O0292,Gold,CoD,1,446460,,mobile,3,1173,express,No
O0293,Gold,COD,2,282121,,Desktop,6,937,express,No
O0294,Platinum,CoD,2,103789,,Mobile,1,1439,express,No
O0295,Gold,cod,5,219197,,DESKTOP,5,1117,regular,No
O0296,Silver,CoD,1,99597,Surabaya,DESKTOP,4,198,regular,No
O0297,Platinum,CoD,2,349114,,mobile,1,1124,regular,No
O0298,Silver,cod,1,144907,,DESKTOP,5,1157,regular,No
O0299,gold,CoD,4,82252,,mobile,6,1230,regular,No
O0300,Platinum,cod,3,429085,,DESKTOP,6,939,express,No
O0301,Gold,COD,5,322534,,mobile,1,323,express,No
O0302,Platinum,CoD,3,254731,,Desktop,0,685,express,No
O0303,Platinum,CoD,4,78412,,Mobile,4,759,regular,No
O0304,Gold,CoD,3,136502,,Mobile,2,845,regular,No
O0305,silver,COD,1,488098,,Desktop,5,761,express,No
O0306,Platinum,COD,2,344542,,Desktop,1,735,regular,No
O0307,Gold,cod,4,376557,,Mobile,4,16,regular,No
O0308,Gold,COD,1,,,Desktop,3,620,express,No
O0309,Silver,COD,1,314303,,DESKTOP,1,768,express,No
O0310,gold,cod,1,145956,,Mobile,5,259,regular,No
O0311,Gold,COD,3,209174,,mobile,2,918,regular,No
O0312,Platinum,cod,1,378128,,mobile,4,870,regular,No
O0313,Gold,CoD,3,368495,,DESKTOP,6,646,regular,No
O0314,Platinum,COD,5,114637,,Mobile,1,196,regular,No
O0315,Silver,COD,4,341014,,Desktop,3,636,express,No
O0316,Platinum,cod,2,428701,,DESKTOP,2,807,regular,Yes
O0317,gold,cod,3,272190,,DESKTOP,6,749,regular,No
O0318,Silver,cod,2,267783,,mobile,4,1180,express,No
O0319,gold,COD,2,339313,,DESKTOP,5,484,regular,Yes
O0320,gold,cod,1,93389,,mobile,6,94,regular,No
O0321,silver,CoD,4,129801,,mobile,3,1468,express,No
O0322,gold,cod,1,449294,,Desktop,5,765,regular,No
O0323,silver,COD,2,386165,,Mobile,3,38,express,Yes
O0324,silver,CoD,4,224589,Medan,mobile,6,1081,express,Yes
O0325,gold,cod,5,,,mobile,6,801,regular,No
O0326,Gold,COD,1,248703,,DESKTOP,0,1137,regular,No
O0327,Silver,CoD,4,308370,,DESKTOP,6,102,express,No
O0328,Platinum,cod,4,151824,,mobile,4,357,regular,No
O0329,Gold,CoD,3,478031,,DESKTOP,0,42,express,No
O0330,silver,COD,1,,,mobile,6,165,express,No
O0331,Gold,cod,5,427732,Bandung,Desktop,5,386,express,No
O0332,Gold,CoD,1,290119,,mobile,5,832,regular,No
O0333,Platinum,CoD,3,232939,,Desktop,3,294,express,No
O0334,silver,CoD,3,478779,,Desktop,4,911,regular,No
O0335,Platinum,CoD,5,162109,,Mobile,3,740,regular,Yes
O0336,Silver,cod,5,103797,,Mobile,6,35,regular,No
O0337,silver,CoD,4,275897,,DESKTOP,,1254,express,No
O0338,gold,COD,3,396705,,Desktop,2,379,express,No
O0339,Silver,CoD,4,118403,,Mobile,6,510,regular,No
O0340,gold,COD,5,51377,,DESKTOP,4,450,regular,No
O0341,Silver,CoD,2,437191,,DESKTOP,0,766,regular,No
O0342,silver,COD,1,363429,,mobile,3,30,regular,No
O0343,Silver,CoD,5,95650,,Desktop,2,778,express,No
O0344,gold,CoD,3,301505,,Desktop,4,749,express,No
O0345,Platinum,CoD,5,468784,,Desktop,1,1410,regular,No
O0346,gold,cod,2,329137,,Desktop,1,1357,express,No
O0347,Platinum,cod,5,369188,,Desktop,3,1091,express,No
O0348,Gold,cod,3,259034,,mobile,1,443,regular,No
O0349,silver,CoD,4,236164,Bandung,DESKTOP,6,777,regular,Yes
O0350,Platinum,COD,5,404814,,mobile,1,752,express,Yes
O0351,gold,COD,4,91806,,DESKTOP,1,672,regular,No
O0352,silver,COD,2,241191,,mobile,4,526,regular,No
O0353,silver,COD,1,289277,,DESKTOP,3,466,regular,Yes
O0354,silver,cod,3,230913,,Mobile,0,140,regular,No
O0355,silver,CoD,5,57929,,Desktop,5,906,regular,Yes
O0356,Gold,CoD,5,145314,,Mobile,0,376,express,No
O0357,Platinum,COD,3,406939,,Mobile,6,457,regular,No
O0358,Platinum,cod,5,239720,,mobile,5,476,express,No
O0359,gold,COD,2,468397,,Mobile,1,1301,express,No
O0360,Gold,cod,5,318043,,Desktop,5,1008,express,No
O0361,silver,CoD,5,,,DESKTOP,4,1488,express,No
O0362,Gold,cod,2,297145,,Desktop,0,1252,regular,No
O0363,Platinum,COD,4,256461,,Desktop,1,944,express,No
O0364,gold,COD,4,137134,,DESKTOP,1,1048,regular,No
O0365,gold,cod,1,413202,,mobile,5,1322,regular,No
O0366,silver,cod,1,138024,,Desktop,,77,regular,No
O0367,silver,cod,3,337682,,mobile,5,972,express,No
O0368,silver,CoD,1,434078,,mobile,3,1377,regular,No
O0369,Platinum,CoD,2,478260,,Desktop,2,1013,express,No
O0370,Gold,COD,4,149356,,Mobile,2,90,regular,No
O0371,Gold,cod,4,76624,,Desktop,6,443,express,Yes
O0372,Platinum,CoD,5,151400,,mobile,6,825,regular,No
O0373,silver,CoD,5,303730,,Mobile,5,773,regular,No
O0374,silver,COD,2,208466,,Desktop,1,458,regular,No
O0375,Silver,COD,5,383871,,Desktop,,620,regular,No
O0376,Silver,COD,4,75400,,mobile,6,656,regular,No
O0377,Silver,COD,2,394910,,Mobile,5,437,regular,No
O0378,Silver,cod,4,139392,,mobile,4,24,regular,No
O0379,Gold,cod,5,220243,,DESKTOP,3,709,regular,No
O0380,gold,CoD,5,327903,,mobile,3,222,express,No
O0381,Platinum,cod,4,83237,,Desktop,0,1493,regular,Yes
O0382,Silver,cod,4,490842,,mobile,6,1312,regular,No
O0383,Gold,CoD,2,358542,,mobile,0,966,regular,No
O0384,silver,COD,5,67482,,Desktop,3,1384,express,No
O0385,silver,COD,2,,,mobile,,1176,express,No
O0386,Silver,cod,1,90493,,Mobile,2,1418,regular,No
O0387,Silver,cod,4,,,mobile,3,1494,regular,No
O0388,Platinum,CoD,4,,,Mobile,0,1123,express,No
O0389,Gold,CoD,2,240400,,Desktop,1,1210,regular,No
O0390,Gold,COD,5,400653,,mobile,3,241,express,No
O0391,Silver,COD,1,95263,,Mobile,4,23,express,No
O0392,Gold,CoD,5,363315,,Mobile,2,1336,express,No
O0393,Silver,COD,2,224460,,DESKTOP,0,448,express,No
O0394,Gold,cod,2,63042,,mobile,5,607,express,Yes
O0395,silver,cod,3,,,mobile,0,773,express,No
O0396,silver,CoD,5,324956,Bandung,Desktop,1,1430,regular,No
O0397,Platinum,cod,4,79092,,Desktop,0,980,regular,No
O0398,Silver,CoD,1,242532,,mobile,5,154,regular,No
O0399,gold,cod,5,341200,,Mobile,1,570,express,Yes
O0400,Platinum,CoD,2,90957,,Desktop,2,746,regular,No
O0401,gold,COD,1,82706,,Mobile,0,43,express,No
O0402,Platinum,COD,4,397860,,DESKTOP,5,1084,express,Yes
O0403,Gold,COD,4,403170,,mobile,4,249,regular,No
O0404,Platinum,CoD,3,197383,,mobile,3,571,express,No
O0405,gold,cod,1,250406,,DESKTOP,1,30,express,No
O0406,gold,CoD,4,431760,,Mobile,2,995,regular,No
O0407,silver,COD,3,194714,,mobile,3,1429,regular,No
O0408,gold,COD,4,,bandung,DESKTOP,3,721,regular,Yes
O0409,gold,COD,3,261656,,mobile,0,1169,express,No
O0410,Gold,cod,5,375992,,Mobile,5,862,express,No
O0411,gold,COD,5,240009,,DESKTOP,3,790,express,No
O0412,gold,COD,3,225837,,Desktop,0,1399,express,No
O0413,Gold,COD,5,236246,,mobile,0,627,express,No
O0414,Silver,CoD,5,351940,,Mobile,2,317,regular,No
O0415,Silver,cod,2,50851,,Mobile,4,845,regular,No
O0416,silver,COD,3,219716,,Desktop,2,996,regular,No
O0417,Gold,CoD,3,368378,,mobile,,164,express,Yes
O0418,Silver,COD,1,117817,,Mobile,3,212,regular,No
O0419,Silver,CoD,4,370441,,mobile,3,918,express,Yes
O0420,Gold,CoD,5,284865,Medan,Desktop,2,789,regular,No
O0421,gold,COD,4,92713,,DESKTOP,4,619,regular,No
O0422,Gold,COD,4,427628,,Mobile,1,94,regular,No
O0423,Gold,CoD,4,252092,,mobile,5,789,regular,No
O0424,Silver,COD,3,73028,,Mobile,,742,regular,No
O0425,Gold,COD,1,71573,,Desktop,6,256,express,No
O0426,gold,COD,5,414536,,mobile,5,820,regular,No
O0427,silver,cod,3,161512,,DESKTOP,4,1070,regular,Yes
O0428,Gold,CoD,4,298342,,Desktop,2,752,express,No
O0429,Gold,cod,5,73420,,Desktop,5,417,express,No
O0430,gold,COD,4,219139,,mobile,4,916,regular,No
O0431,Gold,CoD,5,318043,,DESKTOP,5,961,regular,No
O0432,gold,cod,2,335116,,DESKTOP,3,823,regular,No
O0433,gold,COD,1,468906,,Desktop,6,1201,regular,No
O0434,gold,cod,5,148113,surabaya,DESKTOP,3,901,regular,No
O0435,gold,CoD,1,216192,,mobile,4,767,regular,No
O0436,Gold,CoD,2,406580,Jakarta,mobile,4,1372,express,No
O0437,Silver,COD,1,457052,,DESKTOP,6,462,express,No
O0438,Silver,cod,3,232066,,Mobile,,616,regular,No
O0439,silver,cod,5,293484,,Desktop,2,121,regular,Yes
O0440,silver,COD,1,264026,,DESKTOP,1,209,regular,No
O0441,gold,COD,1,240616,,mobile,2,338,express,No
O0442,Silver,CoD,1,,,mobile,0,1201,express,Yes
O0443,gold,COD,1,,Jakarta,Desktop,1,374,regular,No
