customer_id,subscription_plan,age,avg_watch_time,monthly_app_opens,device_type,region,past_complaints,months_subscribed,total_transactions,customer_lifetime_value
C0122,Basic,21,23,36,MOBILE,,4,33,0,1714864
C0123,standard,33,66,102,MOBILE,,3,28,0,1335284
C0124,Basic,37,25,3,mobile,,1,25,11,1538663
C0125,Standard,18,118,25,Desktop,Jakarta,3,9,6,1951230
C0126,basic,49,24,46,Mobile,,2,7,8,516166
C0127,basic,59,71,15,desktop,,4,5,3,613888
C0128,Basic,22,76,106,Desktop,,1,9,0,565985
C0129,basic,26,144,49,desktop,,2,20,7,1801217
C0130,premium,42,139,102,desktop,,5,20,11,57246
C0131,Premium,28,148,140,desktop,,5,21,9,1799265
C0132,Basic,44,20,81,MOBILE,,5,27,11,1238861
C0133,Standard,34,97,89,mobile,,1,18,5,1921154
C0134,Basic,55,66,46,Mobile,,1,20,1,1872045
C0135,basic,42,18,127,mobile,,0,30,11,856812
C0136,Standard,22,110,68,desktop,,2,7,8,2122063
C0137,basic,27,149,120,desktop,,5,13,9,545145
C0138,Standard,44,45,139,mobile,,1,4,9,1018406
C0139,premium,30,132,79,mobile,,0,13,7,185671
C0140,premium,52,89,22,MOBILE,,5,12,8,945258
C0141,basic,47,123,115,mobile,,0,19,10,1882118
C0142,Basic,49,94,143,mobile,,0,1,0,1833767
C0143,premium,24,59,133,mobile,,5,14,3,2017021
C0144,Basic,52,63,89,MOBILE,,3,21,4,1514143
C0145,premium,28,155,99,Desktop,,3,13,6,676935
C0146,basic,18,18,124,desktop,,3,13,3,1829160
C0147,premium,20,20,26,desktop,,4,16,6,1586559
C0148,standard,56,111,142,Mobile,,2,30,8,1808138
C0149,Basic,48,42,117,desktop,,2,3,4,430850
C0150,premium,47,133,25,desktop,,0,32,8,1502471
C0151,Basic,59,112,85,mobile,,4,7,2,1456052
C0152,Premium,54,173,65,MOBILE,,5,1,5,126002
C0153,Premium,21,139,56,Mobile,,5,12,7,984392
C0154,premium,34,26,106,desktop,,2,18,9,1926830
C0155,Basic,49,103,97,Desktop,,1,31,5,229032
C0156,Standard,33,134,37,MOBILE,,3,8,7,1386842
C0157,Basic,58,139,21,mobile,,2,27,9,1840061
C0158,basic,50,77,107,mobile,,4,23,9,1579399
C0159,Standard,27,65,108,mobile,,1,12,1,109101
C0160,Premium,50,43,44,Mobile,,5,28,0,206774
C0161,premium,44,155,117,Mobile,,5,6,3,872561
C0162,standard,50,189,116,Desktop,,4,20,9,476795
C0163,premium,21,52,56,mobile,,1,2,6,1534656
C0164,Premium,57,,102,desktop,,3,18,5,386318
C0165,premium,45,18,43,MOBILE,,3,32,4,1707990
C0166,premium,26,198,124,mobile,,0,28,7,1499193
C0167,standard,48,22,84,MOBILE,,2,14,11,304836
C0168,Basic,24,164,115,Mobile,,0,34,9,1111633
C0169,standard,38,151,144,Desktop,,4,5,1,1286585
C0170,standard,48,180,66,desktop,,3,22,8,412143
C0171,standard,44,22,119,Desktop,bandung,0,2,7,591432
C0172,Basic,28,42,37,Desktop,,5,24,0,1613967
C0173,Basic,59,109,142,MOBILE,,2,8,3,1757115
C0174,Standard,38,118,127,Mobile,,4,34,1,1509168
C0175,Standard,31,148,124,desktop,,0,29,1,1453885
C0176,basic,46,62,104,Mobile,,5,15,10,1000020
C0177,standard,40,106,79,desktop,,5,1,3,967869
C0178,standard,18,183,51,mobile,,2,9,0,856172
C0179,basic,43,144,31,Mobile,,2,34,9,523323
C0180,Standard,51,155,87,mobile,,2,17,5,630214
C0181,basic,59,37,91,Mobile,,1,8,5,1806090
C0182,premium,31,145,77,mobile,,5,23,8,554679
C0183,Premium,47,16,63,desktop,,2,19,3,361201
C0184,Premium,22,156,117,desktop,,4,35,1,254837
C0185,Standard,50,178,91,mobile,,1,23,0,871382
C0186,premium,55,19,106,Desktop,,0,35,4,1101014
C0187,Premium,49,112,112,MOBILE,,5,9,2,1201520
C0188,Standard,24,159,90,Desktop,,1,2,9,331809
C0189,basic,38,14,111,desktop,,3,26,7,1827423
C0190,basic,52,187,58,Mobile,,2,13,10,1489921
C0191,premium,32,45,128,MOBILE,,0,28,5,1393115
C0192,standard,32,60,121,mobile,,2,7,5,1047737
C0193,standard,18,130,120,MOBILE,,2,19,8,980134
C0194,Standard,26,25,120,desktop,,2,19,10,651467
C0195,Basic,50,187,69,desktop,,2,21,11,1973573
C0196,Premium,21,195,88,MOBILE,,4,4,11,779941
C0197,Basic,52,114,64,mobile,,1,28,11,1293847
C0198,Basic,28,148,132,Mobile,,3,35,10,447167
C0199,Basic,23,117,137,Mobile,,0,26,6,13170
C0200,Premium,24,95,89,Mobile,,5,1,2,783533
C0201,Basic,29,173,81,Desktop,,3,13,1,499653
C0202,standard,42,137,76,Mobile,,2,25,9,1066463
C0203,Basic,25,167,60,mobile,,4,13,10,506917
C0204,basic,59,172,102,MOBILE,,5,29,1,1184470
C0205,standard,44,31,78,MOBILE,,1,20,3,1259350
C0206,standard,18,135,59,desktop,,2,15,8,1248915
C0207,Premium,51,167,44,Mobile,,1,16,1,1817660
C0208,Standard,50,147,17,MOBILE,,0,23,4,1125190
C0209,Premium,58,173,115,Desktop,,5,30,11,1421267
C0210,standard,38,143,88,desktop,,3,4,1,1572068
C0211,standard,18,79,120,Mobile,,0,4,1,1327416
C0212,standard,20,80,54,MOBILE,,3,7,0,505182
C0213,premium,27,197,46,MOBILE,,2,1,2,1942390
C0214,basic,37,131,90,Mobile,,0,26,8,-13298
C0215,basic,59,180,96,Desktop,,5,18,8,1794309
C0216,Standard,33,166,46,mobile,,4,19,3,-164721
C0217,Premium,35,182,13,mobile,,5,34,10,1261907
C0218,Premium,18,107,79,MOBILE,,0,16,7,1152952
C0219,Basic,46,,67,mobile,,5,18,7,436732
C0220,premium,19,71,21,MOBILE,,3,4,3,1087658
C0221,premium,20,195,12,Desktop,,4,16,9,1673603
C0222,standard,39,56,67,desktop,,4,34,4,393625
C0223,basic,50,,119,Mobile,,4,24,2,1456129
C0224,basic,33,183,20,mobile,,3,1,10,1124268
C0225,Basic,58,153,103,Desktop,,2,26,4,1877212
C0226,standard,46,117,40,desktop,,5,31,11,1073088
C0227,Premium,34,127,8,MOBILE,,5,23,9,1862225
C0228,basic,26,80,136,Mobile,,0,1,11,242922
C0229,Premium,47,157,90,mobile,,3,4,9,782857
C0230,Basic,30,70,139,mobile,,3,26,6,1271873
C0231,Basic,34,72,45,desktop,,4,26,10,1108032
C0232,Premium,21,194,120,Desktop,,4,8,4,651716
C0233,premium,35,59,133,Mobile,,4,15,3,1839109
C0234,standard,40,188,32,desktop,,0,2,9,1201476
C0235,premium,36,100,33,desktop,,1,3,9,938121
C0236,standard,47,138,5,mobile,,2,22,3,1689018
C0237,Premium,25,63,144,Mobile,,5,23,4,1190415
C0238,Basic,42,132,31,MOBILE,,5,1,6,157356
C0239,basic,31,180,144,Mobile,,0,5,5,721185
C0240,Standard,52,125,46,mobile,,5,17,8,-66216
C0241,premium,52,156,140,desktop,,3,7,6,1145936
C0242,Premium,54,133,137,MOBILE,,5,32,10,1410445
C0243,standard,54,150,38,Desktop,,0,17,1,630611
C0244,standard,31,154,20,MOBILE,,5,35,4,151492
C0245,premium,46,,72,mobile,,0,21,1,2099433
C0246,Standard,40,197,7,mobile,,0,26,6,1667988
C0247,Premium,42,165,1,MOBILE,,1,9,9,910930
C0248,basic,34,54,147,MOBILE,,0,31,1,760205
C0249,Premium,27,146,22,MOBILE,,2,28,0,1537785
C0250,Standard,59,48,19,Mobile,Surabaya,2,23,8,2104696
C0251,basic,57,195,11,mobile,,0,14,3,2191277
C0252,Standard,55,61,22,mobile,Jakarta,3,3,11,1922272
C0253,premium,41,94,9,Desktop,Jakarta,1,13,3,998277
C0254,Premium,34,173,88,mobile,,5,28,0,461315
C0255,Premium,27,73,30,MOBILE,,0,29,8,1082542
C0256,Standard,33,51,112,MOBILE,,4,12,4,744351
C0257,basic,20,25,15,desktop,,1,2,11,1253224
C0258,basic,59,50,71,desktop,,3,19,8,2157457
C0259,Standard,28,62,8,mobile,,3,30,8,846301
C0260,premium,57,99,7,Mobile,,4,3,4,990905
C0261,Premium,44,154,5,MOBILE,,3,28,7,1450722
C0262,Premium,22,84,77,Mobile,,0,10,3,1991504
C0263,Standard,19,95,7,MOBILE,,1,8,9,1798380
C0264,Basic,30,157,124,Desktop,Bandung,5,26,3,1373245
C0265,Premium,27,49,139,mobile,,3,28,8,1304242
C0266,premium,55,12,49,MOBILE,,4,1,8,543798
C0267,Basic,47,87,147,mobile,,1,35,10,928271
C0268,Basic,59,19,59,MOBILE,,5,32,6,823727
C0269,standard,34,69,50,MOBILE,,0,6,6,738974
C0270,basic,21,172,57,Desktop,,0,26,7,1495965
C0271,standard,19,77,96,Desktop,,1,11,7,1819444
C0272,Basic,28,167,12,MOBILE,,5,7,6,1142390
C0273,Premium,34,97,129,MOBILE,,4,10,2,1164623
C0274,Standard,40,26,72,mobile,,5,26,9,1556957
C0275,premium,39,146,55,mobile,,2,4,4,579301
C0276,standard,58,100,145,MOBILE,,4,28,7,1153644
C0277,Premium,38,172,55,MOBILE,,3,29,0,509642
C0278,Standard,52,119,141,Mobile,,2,28,2,1310021
C0279,standard,45,85,141,MOBILE,,5,3,1,1810609
C0280,premium,48,123,11,MOBILE,,5,27,1,2105852
C0281,Premium,26,63,136,Desktop,,4,1,5,876609
C0282,Premium,19,131,73,mobile,,2,16,3,515816
C0283,Standard,46,154,136,MOBILE,,2,4,2,1473123
C0284,premium,21,137,52,MOBILE,,4,16,2,694921
C0285,Premium,39,53,63,Mobile,,5,9,1,361105
C0286,Standard,35,11,104,Mobile,,5,18,11,1845679
C0287,Standard,26,172,117,Desktop,,4,24,3,1085363
C0288,Premium,58,162,100,Mobile,,0,20,6,861301
C0289,Basic,39,38,144,MOBILE,,1,17,7,728648
C0290,Basic,50,14,66,Desktop,,2,34,1,312226
C0291,basic,45,122,108,MOBILE,,1,27,2,917416
C0292,Premium,35,17,31,Mobile,,5,19,4,178083
C0293,premium,55,26,5,desktop,,1,27,8,1758554
C0294,Basic,33,71,55,mobile,,1,16,7,889895
C0295,Standard,22,160,62,mobile,,4,15,1,1782159
C0296,Premium,30,64,94,MOBILE,,0,21,4,624270
C0297,Standard,20,65,111,Mobile,,0,3,9,1860314
C0298,Premium,52,14,95,mobile,Surabaya,0,16,4,563906
C0299,Standard,55,197,23,Desktop,,2,28,10,1652451
C0300,premium,43,65,71,mobile,,4,8,0,1710238
C0301,basic,25,110,46,mobile,,4,30,2,1476098
C0302,premium,48,93,41,MOBILE,Bandung,0,9,7,617423
C0303,basic,38,148,15,Mobile,,5,4,2,372616
C0304,basic,39,182,80,desktop,,1,6,5,1514887
C0305,premium,35,41,24,MOBILE,,5,25,11,434255
C0306,Basic,49,143,114,Desktop,,1,31,6,396038
C0307,Premium,57,179,138,Mobile,,5,8,11,936467
C0308,standard,19,103,64,Desktop,,2,3,7,478914
C0309,standard,33,11,49,mobile,,5,31,3,892477
C0310,Premium,50,98,3,desktop,,4,3,0,1599624
C0311,premium,24,123,148,MOBILE,,0,17,2,595241
C0312,Standard,24,37,3,Mobile,,5,7,3,721045
C0313,standard,20,133,69,Desktop,,5,10,5,284074
C0314,Standard,58,139,79,Desktop,,3,14,9,65442
C0315,premium,29,98,103,MOBILE,,2,3,3,1428025
C0316,Basic,22,44,71,Mobile,jakarta,5,12,4,636499
C0317,standard,43,42,28,Desktop,,4,7,6,1486072
C0318,standard,53,164,59,desktop,,2,10,6,1676858
C0319,basic,53,161,56,Desktop,,2,28,5,254948
C0320,Basic,33,,132,mobile,,2,6,8,1724377
C0321,standard,55,90,101,mobile,,3,3,11,335703
C0322,premium,19,194,11,MOBILE,,4,2,7,1462739
C0323,Standard,19,191,110,MOBILE,bandung,1,20,5,336471
C0324,standard,52,17,98,Desktop,,2,9,5,316256
C0325,Basic,57,35,105,MOBILE,,0,10,1,1751149
C0326,Premium,31,162,3,desktop,,5,33,1,1655077
C0327,premium,59,125,9,Mobile,,4,11,7,498043
C0328,Basic,26,14,93,MOBILE,,2,4,0,1159068
C0329,Standard,33,13,83,MOBILE,,1,30,2,1302415
C0330,Basic,58,195,113,MOBILE,,4,24,0,1187619
C0331,Premium,37,,52,mobile,,3,22,9,1421624
C0332,Premium,24,113,92,Desktop,,5,30,2,966313
C0333,standard,19,155,111,MOBILE,,3,14,0,1562532
C0334,Basic,55,91,74,Desktop,,0,35,5,990232
C0335,Standard,36,190,76,desktop,,5,30,5,1010295
C0336,premium,50,90,12,Mobile,,2,25,4,1183847
C0337,Standard,42,170,142,Desktop,,4,13,8,1582157
C0338,standard,18,144,49,MOBILE,,3,7,6,37465
C0339,Basic,21,69,6,Desktop,Surabaya,3,12,11,1024305
C0340,standard,47,17,30,MOBILE,,2,13,5,627275
C0341,Standard,55,126,106,MOBILE,,4,5,8,1587673
C0342,basic,48,96,11,Desktop,,1,28,6,217620
C0343,Premium,33,67,5,mobile,,5,12,9,1353331
C0344,Basic,28,170,3,desktop,,5,16,1,507389
C0345,Basic,18,129,24,Desktop,,5,11,10,73281
C0346,basic,56,118,36,MOBILE,,4,18,11,1149353
C0347,Premium,54,156,140,mobile,,2,5,9,1263226
C0348,standard,45,101,121,desktop,,3,24,6,1495731
C0349,Premium,45,113,70,MOBILE,,5,15,6,1979955
C0350,Premium,57,198,113,desktop,,3,28,5,12956
C0351,Premium,32,129,101,mobile,,2,15,5,1068697
C0352,standard,28,16,70,MOBILE,,5,8,10,620967
C0353,Basic,24,135,16,MOBILE,,5,23,9,1104767
C0354,Standard,40,38,117,Mobile,,2,17,4,295573
C0355,Basic,48,19,117,Mobile,,0,1,10,127835
C0356,basic,38,15,63,mobile,,4,19,7,477748
C0357,Basic,36,77,11,mobile,,1,2,1,449725
C0358,premium,37,33,9,MOBILE,,5,20,5,1506617
C0359,Standard,38,111,134,Mobile,,2,2,7,264842
C0360,standard,23,183,45,MOBILE,,0,3,1,679539
C0361,standard,41,173,84,desktop,,2,15,0,134388
C0362,premium,19,165,25,Desktop,,0,35,3,1453097
C0363,basic,50,72,21,MOBILE,,3,20,8,972456
C0364,standard,38,56,112,MOBILE,,4,32,1,1648585
C0365,Basic,27,173,1,MOBILE,,2,35,3,2166576
C0366,Basic,29,48,10,MOBILE,Surabaya,1,35,1,766853
C0367,basic,22,,73,desktop,,3,22,10,1836720
C0368,Basic,18,16,121,Desktop,,1,7,6,1804620
C0369,Premium,53,155,34,Desktop,,0,9,7,1488081
C0370,basic,23,107,114,MOBILE,,4,35,2,1770655
C0371,Standard,43,13,32,Mobile,,5,2,4,1978471
C0372,Standard,27,,41,desktop,,3,7,9,1985065
C0373,basic,22,42,23,desktop,,0,15,7,1947876
C0374,standard,25,155,122,Mobile,,3,16,9,1861037
C0375,Premium,34,21,19,MOBILE,,5,22,6,1770051
C0376,Premium,51,97,7,desktop,,4,21,10,1733776
C0377,Basic,37,196,114,Mobile,,1,3,3,1073900
C0378,Premium,41,84,60,Mobile,,1,10,5,1338787
C0379,basic,51,64,145,Desktop,,2,34,5,1761611
C0380,basic,22,52,61,MOBILE,,0,23,4,15305
C0381,basic,37,164,34,Mobile,,4,31,11,858545
C0382,Standard,27,,119,MOBILE,,1,9,2,190530
C0383,Standard,23,54,75,Desktop,,1,23,6,1627123
C0384,premium,20,185,102,mobile,,3,33,10,149993
C0385,premium,33,164,86,mobile,,5,23,8,1853360
C0386,premium,26,35,31,Mobile,,3,28,2,845738
C0387,Basic,42,56,94,desktop,,3,12,8,611250
C0388,Premium,21,71,122,Mobile,,3,26,10,347979
C0389,basic,43,53,144,MOBILE,,0,14,1,1329930
C0390,Basic,21,168,140,mobile,,3,23,3,680575
C0391,premium,56,150,137,Desktop,,4,35,2,86626
C0392,standard,32,73,145,mobile,,5,23,8,1891779
C0393,basic,25,159,108,mobile,,2,30,11,1040737
C0394,premium,58,166,61,desktop,,4,5,0,624251
C0395,Standard,57,102,107,Desktop,,0,32,11,400595
C0396,Standard,54,80,97,Desktop,,4,22,5,1186958
C0397,Basic,41,89,148,MOBILE,,1,3,9,1771443
C0398,Standard,47,24,37,Mobile,,1,20,0,1568583
C0399,standard,39,184,34,mobile,,2,20,8,1197876
C0400,premium,32,194,132,mobile,,4,9,11,1109975
C0401,Basic,57,33,32,mobile,,3,16,0,1336040
C0402,Standard,54,62,139,Mobile,,1,26,0,1247646
C0403,basic,51,141,130,MOBILE,,3,18,5,214651
C0404,standard,47,157,40,Mobile,,5,8,6,404738
C0405,standard,39,132,84,Mobile,,4,23,2,594807
C0406,Standard,59,82,17,desktop,,3,10,3,939881
C0407,basic,39,145,71,mobile,Surabaya,1,32,11,1603418
C0408,standard,41,76,71,desktop,,1,26,7,307592
C0409,basic,33,115,25,desktop,,1,30,8,1244246
C0410,standard,43,145,1,Mobile,,0,29,5,143777
C0411,Premium,52,190,16,Mobile,Jakarta,2,32,6,1723909
C0412,Premium,55,28,145,Desktop,,3,22,9,762580
C0413,standard,53,194,130,desktop,,1,28,6,2017796
C0414,basic,58,138,119,Desktop,,3,7,1,362438
C0415,Standard,35,105,38,MOBILE,,4,33,5,1639686
C0416,premium,25,29,118,mobile,,5,18,4,836300
C0417,Premium,55,81,67,desktop,,2,20,11,1366933
C0418,standard,22,47,133,MOBILE,,3,24,0,721470
C0419,standard,25,79,20,MOBILE,,5,9,1,315313
C0420,Premium,39,52,44,mobile,,1,33,10,1055355
C0421,Basic,46,46,75,Desktop,,5,4,10,20040
C0422,Basic,51,124,64,MOBILE,,1,31,11,1074192
C0423,premium,45,24,65,desktop,,2,19,11,871489
C0424,Basic,32,21,52,MOBILE,,2,35,9,484506
C0425,Premium,24,74,19,Desktop,,4,33,6,1891694
C0426,premium,45,34,78,Desktop,,5,21,5,1834180
C0427,standard,58,39,44,Desktop,,0,16,7,500193
C0428,premium,25,74,92,MOBILE,,4,22,11,1971981
C0429,basic,52,124,140,Mobile,,3,16,3,821091
C0430,Basic,21,192,28,Desktop,,5,7,8,457827
C0431,premium,35,142,107,mobile,,5,34,6,1395207
C0432,basic,30,89,61,desktop,bandung,0,29,11,1728094
C0433,Premium,27,56,8,Mobile,,2,24,2,370865
C0434,Standard,56,113,12,Mobile,,4,8,9,1694653
C0435,Standard,44,19,27,Desktop,,5,10,2,1026607
C0436,Standard,48,113,145,Mobile,,3,22,5,1083731
C0437,premium,27,76,36,Mobile,Jakarta,4,18,7,799671
C0438,standard,41,186,65,desktop,,0,1,5,1530691
C0439,Standard,39,,35,Desktop,,4,30,4,322197
C0440,Basic,38,12,101,MOBILE,,5,34,1,949585
C0441,Premium,38,118,107,mobile,,2,16,0,969847
C0442,premium,31,178,124,desktop,,2,1,1,1373598
C0443,basic,31,140,89,Desktop,,5,22,1,690569
C0444,Basic,54,115,74,desktop,,4,18,1,1264881
C0445,premium,32,93,78,MOBILE,,2,6,2,1832270
C0446,basic,31,103,58,Desktop,,3,1,5,402767
C0447,premium,31,19,100,Desktop,,2,15,8,1039356
C0448,basic,51,183,15,Desktop,,5,23,11,565272
C0449,basic,28,42,27,Mobile,,4,3,2,1836487
C0450,Basic,21,103,11,MOBILE,,2,22,10,2162915
C0451,basic,56,128,55,desktop,,4,15,2,1762187
C0452,Premium,27,129,84,Mobile,,3,18,2,1462037
C0453,standard,19,24,147,desktop,,3,15,1,1923835
C0454,basic,47,11,142,MOBILE,,3,35,2,2204818
C0455,standard,32,163,25,Mobile,,5,7,8,583664
C0456,Basic,41,196,72,Mobile,Medan,2,16,11,536273
C0457,Basic,54,173,4,Desktop,,2,10,1,1930645
C0458,Basic,29,39,71,desktop,,2,29,9,1806283
C0459,basic,27,69,135,Desktop,,2,22,6,1406545
C0460,premium,25,112,73,MOBILE,,5,12,6,1439334
C0461,Standard,37,93,20,mobile,,0,33,7,668783
C0462,standard,20,116,141,Desktop,,3,35,7,930524
C0463,Basic,58,35,72,desktop,,2,31,8,75745
C0464,Basic,20,185,14,mobile,,0,27,5,1254690
C0465,premium,29,125,137,MOBILE,,2,2,7,1508657
C0466,Standard,21,,13,mobile,,1,33,3,1787170
C0467,basic,26,40,4,MOBILE,,0,20,2,1017059
C0468,Basic,42,22,39,mobile,,3,29,11,387984
C0469,Standard,24,28,11,desktop,,1,27,11,1550607
C0470,premium,48,73,83,mobile,,4,26,11,1236193
C0471,Basic,24,92,91,Desktop,,5,3,7,607605
C0472,Premium,49,170,74,desktop,,3,26,9,666442
C0473,Premium,40,19,64,MOBILE,,0,14,1,1172890
C0474,basic,56,88,121,MOBILE,,5,9,3,1276439
C0475,basic,44,54,95,desktop,jakarta,1,19,6,1126613
C0476,premium,32,29,76,desktop,,2,27,6,1467637
